gene,protein,cluster,n_cells,rho_obs,rho_null_mean,z_score,p_value,fdr_padj
GENE_17396,CD56,0,3446,0.12322185482574019,0.00011855167539777212,7.19840577441765,6.092062208673411e-13,2.0584680986310402e-12
GENE_16867,IgM,1,2427,-0.14501082190996106,0.00015787728136795097,-7.198262598810468,6.098461095159796e-13,2.0584680986310402e-12
GENE_01844,CD56,2,938,0.23507018110687075,-0.0017466316250268747,7.197941624581399,6.112830246302395e-13,2.0601093536138865e-12
CD8A,PD-1,1,2427,0.14941540685834845,0.0008079553495595782,7.197204953062165,6.145934844633699e-13,2.068049814956712e-12
GENE_09438,CD14,0,3446,-0.1238058037177937,-0.00011465822496919953,-7.196380222984904,6.183205466285687e-13,2.0773653093707105e-12
GENE_09438,TIGIT,0,3446,0.12093303475619652,-0.00047652798576806903,7.1786180997523275,7.041954653055799e-13,2.3622160577665508e-12
GENE_16711,IgM,1,2427,-0.14982293714725864,-0.00038724328806782215,-7.177439340553747,7.102915511068581e-13,2.378982675809214e-12
GENE_09688,CD14,0,3446,-0.12157645997530794,-0.00034802089777161274,-7.1769174504838835,7.130070811678169e-13,2.3843925075473138e-12
GENE_06387,CD8a,4,932,0.2300648457991281,-0.00016933012323013717,7.175899774105693,7.18331660049378e-13,2.398497237791991e-12
GENE_03621,CD56,2,938,0.23408329528336697,-0.001708567155991235,7.172778884022089,7.349050117469511e-13,2.4500602468548355e-12
GENE_11395,IgM,4,932,-0.2360973397382379,-0.0005629172599660839,-7.171394498386906,7.423763676404832e-13,2.4711668028831445e-12
GENE_00723,IgM,4,932,-0.24078756003261254,-0.0007892247390071612,-7.16828438834672,7.594341981399623e-13,2.524070410075611e-12
CD8B,CD161,1,2427,0.1494783215181971,-0.0007472313619752365,7.166117242018425,7.715470509347154e-13,2.5604019285995836e-12
GENE_18631,IgM,4,932,-0.2329959975730296,-0.00026634130782577205,-7.164555992308853,7.803906776457555e-13,2.585789905899621e-12
GENE_04573,CD56,2,938,0.22977236092069328,-0.0015480156165086157,7.155914122771396,8.311716682327791e-13,2.7498458092525685e-12
CD3G,CD56,3,171,-0.5393860888808041,0.00438501348572874,-7.140573483883282,9.294232798167617e-13,3.070213791711772e-12
FCER1A,IgM,4,932,-0.22722742462005693,0.0004236333646944166,-7.128476125339396,1.0148619714685793e-12,3.3473453457723154e-12
CLEC9A,IgM,4,932,-0.22700817745898524,5.464687879115538e-05,-7.125004254971684,1.0407747275632204e-12,3.4275970131147393e-12
CD3D,CD4,5,86,0.7843810899356328,-0.0011725329083444222,7.111038190775353,1.151732611646543e-12,3.787260348160938e-12
CD14,CD25,2,938,-0.23671209509797703,-0.0002463994507133379,-7.093101183797961,1.311395000973039e-12,4.305746919861478e-12
CD3G,CD4,5,86,0.7706374498861193,-0.003860952975591114,7.088494081233579,1.3557917817121056e-12,4.441984175338335e-12
GENE_04125,CD14,0,3446,-0.12352959262567363,-0.0007616995032244345,-7.088371981798368,1.3569882436889607e-12,4.441984175338335e-12
GENE_17934,IgM,4,932,-0.22803087263794308,-0.0005679556444789626,-7.081814087722092,1.4227945577452916e-12,4.65037074907096e-12
GENE_00800,CD56,2,938,0.23136586653408306,-0.0015118990538254243,7.0783132563481095,1.4591958591225585e-12,4.762164799274976e-12
GENE_01610,IgM,4,932,-0.23138793897829438,-0.000809822244082335,-7.076570108991092,1.477660136222154e-12,4.815172203298358e-12
